  0.15706234E+00  0.26464670E-02  0.60891487E-02 -0.71890708E-01
  0.15775424E+00  0.25880996E-02  0.61065191E-02 -0.72162813E-01
  0.15844614E+00  0.25294193E-02  0.61241350E-02 -0.72433459E-01
  0.15913805E+00  0.24704346E-02  0.61420120E-02 -0.72702622E-01
  0.15982995E+00  0.24111539E-02  0.61601653E-02 -0.72970282E-01
  0.16052186E+00  0.23515858E-02  0.61786104E-02 -0.73236417E-01
  0.16121376E+00  0.22917387E-02  0.61973622E-02 -0.73501005E-01
  0.16190567E+00  0.22316212E-02  0.62164358E-02 -0.73764027E-01
  0.16259757E+00  0.21712417E-02  0.62358458E-02 -0.74025459E-01
  0.16328948E+00  0.21106087E-02  0.62556068E-02 -0.74285282E-01
  0.16398138E+00  0.20497306E-02  0.62757332E-02 -0.74543474E-01
  0.16467329E+00  0.19886159E-02  0.62962390E-02 -0.74800015E-01
  0.16536519E+00  0.19272730E-02  0.63171380E-02 -0.75054884E-01
  0.16605709E+00  0.18657102E-02  0.63384440E-02 -0.75308060E-01
  0.16674900E+00  0.18039359E-02  0.63601702E-02 -0.75559524E-01
  0.16744090E+00  0.17419585E-02  0.63823297E-02 -0.75809255E-01
  0.16813281E+00  0.16797862E-02  0.64049352E-02 -0.76057234E-01
  0.16882471E+00  0.16174273E-02  0.64279991E-02 -0.76303439E-01
  0.16951662E+00  0.15548900E-02  0.64515338E-02 -0.76547853E-01
  0.17020852E+00  0.14921826E-02  0.64755508E-02 -0.76790455E-01
  0.17090043E+00  0.14293130E-02  0.65000617E-02 -0.77031226E-01
  0.17159233E+00  0.13662894E-02  0.65250776E-02 -0.77270147E-01
  0.17228424E+00  0.13031199E-02  0.65506093E-02 -0.77507200E-01
  0.17297614E+00  0.12398125E-02  0.65766671E-02 -0.77742366E-01
  0.17366804E+00  0.11763750E-02  0.66032609E-02 -0.77975626E-01
  0.17435995E+00  0.11128154E-02  0.66304005E-02 -0.78206962E-01
  0.17505185E+00  0.10491415E-02  0.66580948E-02 -0.78436356E-01
  0.17574376E+00  0.98536101E-03  0.66863528E-02 -0.78663791E-01
  0.17643566E+00  0.92148167E-03  0.67151827E-02 -0.78889250E-01
  0.17712757E+00  0.85751110E-03  0.67445924E-02 -0.79112714E-01
  0.17781947E+00  0.79345685E-03  0.67745894E-02 -0.79334168E-01
  0.17851138E+00  0.72932643E-03  0.68051807E-02 -0.79553594E-01
  0.17920328E+00  0.66512724E-03  0.68363728E-02 -0.79770976E-01
  0.17989519E+00  0.60086663E-03  0.68681717E-02 -0.79986298E-01
  0.18058709E+00  0.53655187E-03  0.69005831E-02 -0.80199544E-01
  0.18127899E+00  0.47219014E-03  0.69336120E-02 -0.80410698E-01
  0.18197090E+00  0.40778854E-03  0.69672630E-02 -0.80619745E-01
  0.18266280E+00  0.34335409E-03  0.70015403E-02 -0.80826671E-01
  0.18335471E+00  0.27889373E-03  0.70364474E-02 -0.81031459E-01
  0.18404661E+00  0.21441430E-03  0.70719875E-02 -0.81234097E-01
  0.18473852E+00  0.14992257E-03  0.71081631E-02 -0.81434569E-01
  0.18543042E+00  0.85425185E-04  0.71449763E-02 -0.81632862E-01
  0.18612233E+00  0.20928731E-04  0.71824285E-02 -0.81828963E-01
  0.18681423E+00 -0.43560319E-04  0.72205209E-02 -0.82022858E-01
  0.18750614E+00 -0.10803559E-03  0.72592538E-02 -0.82214534E-01
  0.18819804E+00 -0.17249079E-03  0.72986273E-02 -0.82403979E-01
  0.18888994E+00 -0.23691975E-03  0.73386406E-02 -0.82591180E-01
  0.18958185E+00 -0.30131638E-03  0.73792927E-02 -0.82776126E-01
  0.19027375E+00 -0.36567471E-03  0.74205818E-02 -0.82958805E-01
  0.19096566E+00 -0.42998887E-03  0.74625058E-02 -0.83139205E-01
  0.19165756E+00 -0.49425309E-03  0.75050618E-02 -0.83317316E-01
  0.19234947E+00 -0.55846172E-03  0.75482466E-02 -0.83493128E-01
  0.19304137E+00 -0.62260920E-03  0.75920561E-02 -0.83666629E-01
  0.19373328E+00 -0.68669010E-03  0.76364862E-02 -0.83837811E-01
  0.19442518E+00 -0.75069909E-03  0.76815317E-02 -0.84006663E-01
  0.19511709E+00 -0.81463095E-03  0.77271872E-02 -0.84173177E-01
  0.19580899E+00 -0.87848058E-03  0.77734466E-02 -0.84337343E-01
  0.19650089E+00 -0.94224299E-03  0.78203033E-02 -0.84499153E-01
  0.19719280E+00 -0.10059133E-02  0.78677503E-02 -0.84658599E-01
  0.19788470E+00 -0.10694868E-02  0.79157798E-02 -0.84815673E-01
  0.19857661E+00 -0.11329587E-02  0.79643837E-02 -0.84970368E-01
